status;nome;cpf;idade;data_nascimento;cidade;regiao;renda_mensal;credito_tomado;flag_inadimpl;qtde_batalhas;nivel_risco;analise_risco;valor_solicitado;risco_crédito; liberação_de_crédito ;
Ativo;Bronn Dondarrion;000.000.036-00;49;11/01/1977;Jardim de Cima;Campina;R$ 20.300,00;R$ 12.000,00;Sim;27;Alto;Negado;R$ 67.500,00;Passou; R$ 72.900,00 ;
Ativo;Ellaria Yronwood;000.000.176-00;73;05/01/1953;Monte Chifre;Campina;R$ 16.500,00;R$ 54.000,00;Não;11;Medio;Passou;R$ 33.500,00;Passou; R$ 36.180,00 ;
Ativo;Olenna Lannister;000.000.212-00;26;19/09/1999;Pedra do Dragão;Terras da coroa;R$ 8.900,00;R$ 72.000,00;;17;Medio;Passou;R$ 11.000,00;Passou; R$ 11.880,00 ;
Ativo;Bran Frey;000.000.042-00;33;15/10/1992;Braavos;;R$ 29.200,00;R$ 3.000,00;Sim;40;Alto;Negado;R$ 26.000,00;Passou; R$ 28.080,00 ;
Ativo;Sansa Clegane;000.000.174-00;67;01/05/1959;Ponta Tempestade;Terras da tempestade;R$ 6.500,00;R$ 42.500,00;Sim;3;Baixo;Passou;R$ 8.000,00;Passou; R$ 8.640,00 ;
Ativo;Daario Yronwood;Não informado;72;18/03/1954;Porto Real;Terras Da Coroa;R$ 10.200,00;R$ 0,00;Não;27;Alto;Passou;R$ 99.500,00;Passou; R$ 107.460,00 ;
Ativo;Ramsay Karstark;000.000.185-00;35;12/05/1991;Pedra do Dragão;Terras da Coroa;R$ 5.600,00;R$ 69.500,00;Não;13;Medio;Passou;R$ 43.500,00;Passou; R$ 46.980,00 ;
Ativo;Beric Tallhart;000.000.048-00;33;25/04/1993;Ilha dos Ursos;Norte;R$ 29.700,00;R$ 38.000,00;Sim;41;Alto;Negado;R$ 83.500,00;Passou; R$ 90.180,00 ;
Ativo;Meera Lannister;000.000.121-00;58;01/11/1967;Ninho da Águia;Vale;R$ 22.200,00;R$ 0,00;Não;42;Alto;Passou;R$ 33.000,00;Passou; R$ 35.640,00 ;
Inativo;Thoros Hornwood;000.000.245-00;65;16/10/1960;Castelo Negro;Norte;R$ 19.800,00;78.500;Não;34;Alto;Passou;R$ 84.000,00;Passou; R$ 90.720,00 ;
Inativo;Grey Worm Targaryen;Não informado;38;27/07/1988;Pedra do Dragão;terras da coroa;R$ 23.600,00;R$ 0,00;Não;;Baixo;Passou;R$ 28.500,00;Passou; R$ 30.780,00 ;
Ativo;Melisandre Crakehall;000.000.268-00;60;24/12/1965;Correrio;Terras Fluviais;R$ 9.700,00;61.000;Sim;9;Baixo;Passou;R$ 88.000,00;Negado; R$ 95.040,00 ;
Ativo;podrick umber;Não informado;56;10/01/1970;Pyke;Ilhas de Ferro;R$ 14.900,00;R$ 0,00;Não;13;Medio;Passou;R$ 71.000,00;Passou; R$ 76.680,00 ;
Ativo;Rickon Hornwood;000.000.078-00;35;09/03/1991;Ponta Tempestade;Terras Da Tempestade;R$ 9.700,00;Não informado;Não;20;Medio;Passou;R$ 31.000,00;Passou; R$ 33.480,00 ;
Ativo;Arya Bolton;Não informado;72;08/05/1954;Solar do Entardecer;Terras da Tempestade;R$ 27.100,00;R$ 71.000,00;Não;32;Alto;Passou;R$ 29.500,00;Passou; R$ 31.860,00 ;
Ativo;Ramsay Blackwood;000.000.035-00;52;04/07/1974;Jardim de Cima | Campina;Não informado;R$ 17.500,00;R$ 6.500,00;Não informado;Não informado;Alto;Passou;R$ 42.500,00;Passou; R$ 45.900,00 ;
Ativo;Davos Royce;Não informado;31;03/08/1995;Pyke;Ilhas de Ferro;R$ 20.800,00;17.500;Não;35;Alto;Passou;R$ 58.000,00;Passou; R$ 62.640,00 ;
Ativo;Daario Tarth;000.000.255-00;70;14/08/1956;Braavos | Essos;Não informado;0;R$ 15.800,00;Não;18;Medio;Passou;R$ 91.000,00;Passou; R$ 98.280,00 ;
Inativo ;Robert Payne;000.000.068-00;57;05/11/1968;Monte Chifre;Campina;R$ 26.300,00;R$ 75.500,00;Sim;25;Medio;Passou;R$ 44.000,00;Negado; R$ 47.520,00 ;
Ativo;Roose Baelish;000.000.366-00;28;02/06/1998;Harrenhal | Terras Fluviais;Não informado;R$ 14.600,00;R$ 23.000,00;Sim;22;Medio;Passou;R$ 99.000,00;Negado; R$ 106.920,00 ;
Ativo;Missandei Arryn;000.000.368-00;50;01/12/1975;Pedra do Dragão;Terras da coroa;R$ 22.800,00;R$ 70.000,00;Sim;14;Medio;Passou;R$ 25.500,00;Negado; R$ 27.540,00 ;
Inativo;Jaime Seaworth;000.000.371-00;68;05/01/1958;Castelo Negro;Norte;R$ 2.800,00;R$ 76.000,00;Não;44;Alto;Passou;R$ 27.000,00;Passou; R$ 29.160,00 ;
Ativo;Podrick Stark;000.000.029-00;40;15/02/1986;Ilha dos Ursos;Norte;R$ 21.300,00;R$ 48.500,00;Não;6;Baixo;Passou;R$ 62.500,00;Passou; R$ 67.500,00 ;
Não informado;Viserys Hightower;000.000.262-00;61;02/04/1965;Monte Chifre;Campina;R$ 9.100,00;R$ 49.000,00;Não;1;Baixo;Passou;R$ 48.000,00;Passou; R$ 51.840,00 ;
Ativo;Jorah Stark;000.000.021-00;45;20/12/1980;Braavos;Essos;R$ 16.200,00;R$ 59.000,00;Não;4;Baixo;Passou;R$ 73.500,00;Passou; R$ 79.380,00 ;
Inativo;Roose Frey;000.000.292-00;62;13/12/1963;Jardim de Cima;Campina;R$ 14.600,00;R$ 15.500,00;Não informado;2;Baixo;Passou;R$ 2.500,00;Passou; R$ 2.700,00 ;
Ativo;Bran Frey;000.000.189-00;39;10/07/1987;Ilha dos Ursos;Norte;R$ 8.000,00;R$ 69.000,00;Não;15;Medio;Passou;R$ 6.500,00;Passou; R$ 7.020,00 ;
Ativo;Tyrion Westerling;000.000.290-00;50;Não informado;Correrio;Terras Fluviais;R$ 23.100,00;R$ 55.000,00;Não;9;Baixo;Passou;R$ 17.000,00;Passou; R$ 18.360,00 ;
Inativo;Jaime Bracken;000.000.166-00;35;28/06/1991;Jardim de Cima;Campina;R$ 12.400,00;R$ 36.000,00;Não;9;Baixo;Passou;R$ 71.500,00;Passou; R$ 77.220,00 ;
;Shae Blackwood;000.000.145-00;64;18/07/1962;Atalaia da Água Cinzenta | Gargalo;Não informado;R$ 9.400,00;R$ 0,00;Não;9;Baixo;Passou;R$ 14.500,00;Passou; R$ 15.660,00 ;
Ativo;Aegon Clegane;000.000.330-00;36;04/02/1990;Meereen;Essos;R$ 16.600,00;R$ 23.500,00;Não;10;Baixo;Passou;R$ 21.500,00;Passou; R$ 23.220,00 ;
Ativo;Margaery Redwyne;000.000.180-00;26;19/08/2000;Monte Chifre;Campina;R$ 18.400,00;R$ 0,00;Sim;31;Alto;Negado;R$ 89.500,00;Passou; R$ 96.660,00 ;
Inativo;Jeor Mallister;000.000.162-00;47;28/07/1979;Correrio;Terras Fluviais;R$ 13.300,00;R$ 1.000,00;Sim;24;Medio;Passou;R$ 39.500,00;Passou; R$ 42.660,00 ;
;;;;;;;;;;;;;;;;
